Report file after 34000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[Midori_rounds_sub_sBox_PRINCE_4_e[5](2)] ==> [Midori_rounds_roundReg_out1[16](2), Midori_rounds_roundReg_out1[17](2), Midori_rounds_roundReg_out1[18](2), Midori_rounds_roundReg_out2[19](2), Midori_rounds_roundReg_out1[16](1), Midori_rounds_roundReg_out1[17](1), Midori_rounds_roundReg_out1[18](1), Midori_rounds_roundReg_out2[19](1)] -log10(p) = 3.46207 --> OKAY
Cycle 3: @[Midori_rounds_sub_sBox_PRINCE_4_e[5](3)] ==> [Midori_rounds_roundReg_out1[16](3), Midori_rounds_roundReg_out1[17](3), Midori_rounds_roundReg_out1[18](3), Midori_rounds_roundReg_out2[19](3), Midori_rounds_roundReg_out1[16](2), Midori_rounds_roundReg_out1[17](2), Midori_rounds_roundReg_out1[18](2), Midori_rounds_roundReg_out2[19](2)] -log10(p) = 3.46207 --> OKAY
Cycle 4: @[Midori_rounds_sub_sBox_PRINCE_4_g[8](4)] ==> [Midori_rounds_roundReg_out1[18](4), Midori_rounds_roundReg_out2[16](4), Midori_rounds_roundReg_out2[17](4), Midori_rounds_roundReg_out2[19](4), Midori_rounds_roundReg_out1[18](3), Midori_rounds_roundReg_out2[16](3), Midori_rounds_roundReg_out2[17](3), Midori_rounds_roundReg_out2[19](3)] -log10(p) = 2.12448 --> OKAY
Cycle 5: @[Midori_rounds_sub_sBox_PRINCE_4_g[8](5)] ==> [Midori_rounds_roundReg_out1[18](5), Midori_rounds_roundReg_out2[16](5), Midori_rounds_roundReg_out2[17](5), Midori_rounds_roundReg_out2[19](5), Midori_rounds_roundReg_out1[18](4), Midori_rounds_roundReg_out2[16](4), Midori_rounds_roundReg_out2[17](4), Midori_rounds_roundReg_out2[19](4)] -log10(p) = 2.12448 --> OKAY
Cycle 6: @[Midori_rounds_sub_sBox_PRINCE_11_g[7](6)] ==> [Midori_rounds_roundReg_out1[45](6), Midori_rounds_roundReg_out2[46](6), Midori_rounds_roundReg_out2[44](6), Midori_rounds_roundReg_out2[47](6), Midori_rounds_roundReg_out1[45](5), Midori_rounds_roundReg_out2[46](5), Midori_rounds_roundReg_out2[44](5), Midori_rounds_roundReg_out2[47](5)] -log10(p) = 2.62213 --> OKAY
Cycle 7: @[Midori_rounds_sub_sBox_PRINCE_11_g[7](7)] ==> [Midori_rounds_roundReg_out1[45](7), Midori_rounds_roundReg_out2[46](7), Midori_rounds_roundReg_out2[44](7), Midori_rounds_roundReg_out2[47](7), Midori_rounds_roundReg_out1[45](6), Midori_rounds_roundReg_out2[46](6), Midori_rounds_roundReg_out2[44](6), Midori_rounds_roundReg_out2[47](6)] -log10(p) = 2.62213 --> OKAY
Cycle 8: @[Midori_rounds_sub_sBox_PRINCE_10_e[1](8)] ==> [Midori_rounds_roundReg_out1[43](8), Midori_rounds_roundReg_out1[40](8), Midori_rounds_roundReg_out1[41](8), Midori_rounds_roundReg_out2[42](8), Midori_rounds_roundReg_out1[43](7), Midori_rounds_roundReg_out1[40](7), Midori_rounds_roundReg_out1[41](7), Midori_rounds_roundReg_out2[42](7)] -log10(p) = 2.58127 --> OKAY
Cycle 9: @[Midori_rounds_sub_sBox_PRINCE_10_e[1](9)] ==> [Midori_rounds_roundReg_out1[43](9), Midori_rounds_roundReg_out1[40](9), Midori_rounds_roundReg_out1[41](9), Midori_rounds_roundReg_out2[42](9), Midori_rounds_roundReg_out1[43](8), Midori_rounds_roundReg_out1[40](8), Midori_rounds_roundReg_out1[41](8), Midori_rounds_roundReg_out2[42](8)] -log10(p) = 2.58127 --> OKAY
Cycle 10: @[Midori_rounds_sub_sBox_PRINCE_8_g[6](10)] ==> [Midori_rounds_roundReg_out1[32](10), Midori_rounds_roundReg_out2[34](10), Midori_rounds_roundReg_out2[33](10), Midori_rounds_roundReg_out2[35](10), Midori_rounds_roundReg_out1[32](9), Midori_rounds_roundReg_out2[34](9), Midori_rounds_roundReg_out2[33](9), Midori_rounds_roundReg_out2[35](9)] -log10(p) = 2.50275 --> OKAY
Cycle 11: @[Midori_rounds_roundResult_Reg1_SFF_15_SFFInst_N3(11)] ==> [Midori_rounds_sub_sBox_PRINCE_12_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_12_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_12_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_12_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_6_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_6_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_6_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_6_h_reg[4](11), input1[15](11), Midori_rounds_sub_sBox_PRINCE_9_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_9_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_9_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_9_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_7_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_7_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_7_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_7_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_4_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_4_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_4_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_4_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_0_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_0_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_0_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_0_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_13_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_13_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_13_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_13_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_2_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_2_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_2_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_2_h_reg[4](11), Midori_rounds_sub_sBox_PRINCE_1_h_reg[1](11), Midori_rounds_sub_sBox_PRINCE_1_h_reg[2](11), Midori_rounds_sub_sBox_PRINCE_1_h_reg[3](11), Midori_rounds_sub_sBox_PRINCE_1_h_reg[4](11), enc_dec(11), reset(11), key[15](11), key[79](11), Midori_rounds_sub_sBox_PRINCE_12_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_12_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_12_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_12_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_6_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_6_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_6_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_6_h_reg[4](10), input1[15](10), Midori_rounds_sub_sBox_PRINCE_9_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_9_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_9_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_9_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_7_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_7_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_7_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_7_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_4_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_4_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_4_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_4_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_0_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_0_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_0_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_0_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_13_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_13_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_13_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_13_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_2_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_2_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_2_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_2_h_reg[4](10), Midori_rounds_sub_sBox_PRINCE_1_h_reg[1](10), Midori_rounds_sub_sBox_PRINCE_1_h_reg[2](10), Midori_rounds_sub_sBox_PRINCE_1_h_reg[3](10), Midori_rounds_sub_sBox_PRINCE_1_h_reg[4](10), enc_dec(10), reset(10), key[15](10), key[79](10)] -log10(p) = 3.21736 --> OKAY
